epoch,acc,loss,lr,val_acc,val_loss
0,0.9253012537956238,0.26717814803123474,1e-05,0.7645410895347595,0.522453784942627
1,0.9588179588317871,0.15675684809684753,1e-05,0.8182543516159058,0.4535083770751953
2,0.9705208539962769,0.11236131936311722,1e-05,0.7439156174659729,0.6215518712997437
3,0.9761862754821777,0.09073074162006378,1e-05,0.751990795135498,0.6648857593536377
4,0.9790401458740234,0.07682043313980103,1e-05,0.7399442791938782,0.8761842250823975
5,0.9807003736495972,0.06784246861934662,1e-05,0.7343230843544006,1.0161793231964111
6,0.9772624969482422,0.07450924068689346,1e-06,0.8619017601013184,0.5091398358345032
7,0.9796647429466248,0.06768586486577988,1e-06,0.8565748929977417,0.5221293568611145
8,0.9809681177139282,0.06390968710184097,1e-06,0.8550798892974854,0.5269246101379395
9,0.9815921187400818,0.06171386316418648,1e-06,0.8545111417770386,0.5270196795463562
10,0.9816790223121643,0.06146787106990814,1e-07,0.8535470962524414,0.5445131659507751
11,0.9820398688316345,0.06041931360960007,1e-07,0.8541765809059143,0.5401986837387085
12,0.982226550579071,0.059823691844940186,1e-07,0.8543210029602051,0.5380012392997742
13,0.9823538661003113,0.059405434876680374,1e-07,0.854344367980957,0.5364257097244263
14,0.9825208783149719,0.058965448290109634,1e-08,0.854360818862915,0.5359681248664856
15,0.9825332164764404,0.05892443284392357,1e-08,0.8544420599937439,0.5350900888442993
16,0.9825447201728821,0.05888504534959793,1e-08,0.8545108437538147,0.5343413949012756
17,0.9825552701950073,0.05884702876210213,1e-08,0.8545674085617065,0.5337086915969849
18,0.9825752973556519,0.05879425257444382,1e-09,0.854564368724823,0.5336982607841492
19,0.9825758337974548,0.058791279792785645,1e-09,0.854569137096405,0.5336388945579529
20,0.9825772047042847,0.05878829210996628,1e-09,0.8545742630958557,0.5335792303085327
21,0.9825782775878906,0.0587853267788887,1e-09,0.8545790314674377,0.5335204601287842
